California, Climate Division 3, Average Temperature
196208,61.8,-1.2
196209,58.6,2.5
196210,47.6,1.0
196211,39.1,2.7
196212,33.8,4.0
196301,27.4,-0.8
196302,39.8,8.7
196303,33.8,-1.5
196304,34.6,-6.7
196305,50.0,1.3
196306,53.6,-3.0
196307,60.7,-3.6
196308,61.3,-1.7
196309,58.9,2.8
196310,49.5,2.9
196311,36.8,0.4
196312,31.9,2.1
196401,28.6,0.4
196402,28.4,-2.7
196403,32.1,-3.2
196404,39.1,-2.2
196405,45.9,-2.8
196406,53.9,-2.7
196407,64.4,0.1
196408,62.8,-0.2
196409,54.2,-1.9
196410,51.2,4.6
196411,32.7,-3.7
196412,32.7,2.9
196501,29.3,1.1
196502,32.0,0.9
196503,35.4,0.1
196504,41.0,-0.3
196505,45.6,-3.1
196506,54.6,-2.0
196507,62.4,-1.9
196508,60.4,-2.6
196509,51.8,-4.3
196510,50.0,3.4
196511,37.6,1.2
196512,27.0,-2.8
196601,27.7,-0.5
196602,28.0,-3.1
196603,36.9,1.6
196604,43.9,2.6
196605,53.4,4.7
196606,56.5,-0.1
196607,62.1,-2.2
196608,65.6,2.6
196609,57.2,1.1
196610,47.0,0.4
196611,38.4,2.0
196612,30.6,0.8
196701,30.9,2.7
196702,33.9,2.8
196703,33.8,-1.5
196704,31.5,-9.8
196705,48.0,-0.7
196706,54.4,-2.2
196707,65.6,1.3
196708,66.7,3.7
196709,58.9,2.8
196710,47.7,1.1
196711,39.8,3.4
196712,24.3,-5.5
196801,28.2,0.0
196802,36.7,5.6
196803,37.2,1.9
196804,39.7,-1.6
196805,47.8,-0.9
196806,58.5,1.9
196807,66.5,2.2
196808,58.9,-4.1
196809,55.8,-0.3
196810,46.6,0.0
196811,36.5,0.1
196812,27.5,-2.3
196901,29.8,1.6
196902,26.7,-4.4
196903,31.2,-4.1
196904,40.3,-1.0
196905,52.4,3.7
196906,56.2,-0.4
196907,64.7,0.4
196908,64.2,1.2
196909,58.8,2.7
196910,42.0,-4.6
196911,36.9,0.5
196912,32.6,2.8
197001,31.8,3.6
197002,35.8,4.7
197003,35.7,0.4
197004,35.9,-5.4
197005,49.8,1.1
197006,57.6,1.0
197007,65.9,1.6
197008,64.8,1.8
197009,54.0,-2.1
197010,44.2,-2.4
197011,38.9,2.5
197012,26.8,-3.0
197101,30.2,2.0
197102,32.3,1.2
197103,33.7,-1.6
197104,39.4,-1.9
197105,45.6,-3.1
197106,54.7,-1.9
197107,65.5,1.2
197108,65.8,2.8
197109,53.7,-2.4
197110,42.6,-4.0
197111,35.4,-1.0
197112,24.8,-5.0
197201,24.0,-4.2
197202,32.2,1.1
197203,41.2,5.9
197204,39.7,-1.6
197205,50.5,1.8
197206,59.3,2.7
197207,66.1,1.8
197208,63.8,0.8
197209,53.6,-2.5
197210,44.4,-2.2
197211,33.9,-2.5
197212,24.9,-4.9
197301,26.0,-2.2
197302,31.4,0.3
197303,32.0,-3.3
197304,40.6,-0.7
197305,52.6,3.9
197306,58.9,2.3
197307,65.5,1.2
197308,62.9,-0.1
197309,55.6,-0.5
197310,45.6,-1.0
197311,36.0,-0.4
197312,33.0,3.2
197401,27.8,-0.4
197402,31.0,-0.1
197403,36.2,0.9
197404,38.5,-2.8
197405,49.5,0.8
197406,60.1,3.5
197407,63.6,-0.7
197408,63.2,0.2
197409,59.2,3.1
197410,46.5,-0.1
197411,37.0,0.6
197412,29.6,-0.2
197501,29.7,1.5
197502,29.2,-1.9
197503,32.8,-2.5
197504,32.8,-8.5
197505,47.9,-0.8
197506,56.1,-0.5
197507,64.6,0.3
197508,60.5,-2.5
197509,59.1,3.0
197510,44.5,-2.1
197511,34.5,-1.9
197512,33.2,3.4
197601,31.6,3.4
197602,32.3,1.2
197603,33.0,-2.3
197604,38.4,-2.9
197605,51.2,2.5
197606,55.0,-1.6
197607,64.4,0.1
197608,57.1,-5.9
197609,56.8,0.7
197610,46.8,0.2
197611,39.9,3.5
197612,30.2,0.4
197701,25.1,-3.1
197702,35.2,4.1
197703,31.5,-3.8
197704,44.4,3.1
197705,41.9,-6.8
197706,61.6,5.0
197707,64.3,0.0
197708,65.0,2.0
197709,55.8,-0.3
197710,48.4,1.8
197711,38.5,2.1
197712,34.7,4.9
197801,32.1,3.9
197802,33.0,1.9
197803,40.7,5.4
197804,39.2,-2.1
197805,46.6,-2.1
197806,55.5,-1.1
197807,63.8,-0.5
197808,62.4,-0.6
197809,53.1,-3.0
197810,50.2,3.6
197811,32.7,-3.7
197812,24.3,-5.5
197901,25.2,-3.0
197902,30.5,-0.6
197903,37.1,1.8
197904,40.4,-0.9
197905,50.3,1.6
197906,57.5,0.9
197907,63.9,-0.4
197908,61.4,-1.6
197909,59.1,3.0
197910,49.1,2.5
197911,34.4,-2.0
197912,32.6,2.8
198001,31.9,3.7
198002,35.8,4.7
198003,32.9,-2.4
198004,42.2,0.9
198005,46.8,-1.9
198006,52.9,-3.7
198007,64.4,0.1
198008,61.9,-1.1
198009,56.3,0.2
198010,47.1,0.5
198011,38.3,1.9
198012,34.0,4.2
198101,33.7,5.5
198102,33.3,2.2
198103,35.7,0.4
198104,43.8,2.5
198105,49.5,0.8
198106,60.2,3.6
198107,64.4,0.1
198108,65.9,2.9
198109,59.3,3.2
198110,43.1,-3.5
198111,38.6,2.2
198112,36.1,6.3
198201,25.3,-2.9
198202,32.9,1.8
198203,33.1,-2.2
198204,37.4,-3.9
198205,49.1,0.4
198206,55.6,-1.0
198207,62.6,-1.7
198208,63.6,0.6
198209,53.8,-2.3
198210,44.2,-2.4
198211,32.8,-3.6
198212,29.0,-0.8
198301,31.2,3.0
198302,33.8,2.7
198303,35.3,0.0
198304,36.0,-5.3
198305,48.1,-0.6
198306,55.3,-1.3
198307,59.4,-4.9
198308,62.4,-0.6
198309,57.0,0.9
198310,48.1,1.5
198311,35.4,-1.0
198312,32.7,2.9
198401,29.8,1.6
198402,31.7,0.6
198403,38.5,3.2
198404,39.2,-2.1
198405,51.9,3.2
198406,55.0,-1.6
198407,66.8,2.5
198408,64.1,1.1
198409,57.8,1.7
198410,41.7,-4.9
198411,34.3,-2.1
198412,25.8,-4.0
198501,26.4,-1.8
198502,29.8,-1.3
198503,32.2,-3.1
198504,45.6,4.3
198505,49.4,0.7
198506,61.8,5.2
198507,66.6,2.3
198508,62.0,-1.0
198509,51.1,-5.0
198510,45.0,-1.6
198511,30.4,-6.0
198512,28.7,-1.1
198601,36.6,8.4
198602,35.2,4.1
198603,41.0,5.7
198604,41.4,0.1
198605,49.7,1.0
198606,60.4,3.8
198607,62.4,-1.9
198608,66.1,3.1
198609,50.0,-6.1
198610,45.8,-0.8
198611,38.4,2.0
198612,31.5,1.7
198701,26.5,-1.7
198702,32.2,1.1
198703,35.9,0.6
198704,46.6,5.3
198705,51.6,2.9
198706,60.0,3.4
198707,61.0,-3.3
198708,64.8,1.8
198709,59.1,3.0
198710,51.3,4.7
198711,37.0,0.6
198712,26.6,-3.2
198801,27.1,-1.1
198802,33.6,2.5
198803,37.5,2.2
198804,43.0,1.7
198805,47.9,-0.8
198806,58.1,1.5
198807,68.1,3.8
198808,65.5,2.5
198809,57.4,1.3
198810,53.1,6.5
198811,36.1,-0.3
198812,27.2,-2.6
198901,24.6,-3.6
198902,25.4,-5.7
198903,38.7,3.4
198904,46.3,5.0
198905,48.2,-0.5
198906,58.5,1.9
198907,64.4,0.1
198908,60.7,-2.3
198909,55.6,-0.5
198910,44.9,-1.7
198911,37.6,1.2
198912,32.3,2.5
199001,29.5,1.3
199002,25.8,-5.3
199003,38.3,3.0
199004,46.6,5.3
199005,47.1,-1.6
199006,56.8,0.2
199007,65.9,1.6
199008,63.0,0.0
199009,58.2,2.1
199010,48.6,2.0
199011,35.8,-0.6
199012,22.5,-7.3
199101,30.0,1.8
199102,39.2,8.1
199103,31.3,-4.0
199104,38.7,-2.6
199105,44.1,-4.6
199106,54.2,-2.4
199107,66.0,1.7
199108,63.5,0.5
199109,59.6,3.5
199110,49.8,3.2
199111,38.3,1.9
199112,30.2,0.4
199201,30.5,2.3
199202,35.5,4.4
199203,39.1,3.8
199204,46.8,5.5
199205,56.4,7.7
199206,57.8,1.2
199207,62.8,-1.5
199208,65.3,2.3
199209,58.2,2.1
199210,49.5,2.9
199211,35.4,-1.0
199212,24.9,-4.9
199301,23.1,-5.1
199302,26.6,-4.5
199303,39.9,4.6
199304,41.3,0.0
199305,50.1,1.4
199306,53.9,-2.7
199307,60.0,-4.3
199308,61.1,-1.9
199309,57.2,1.1
199310,47.7,1.1
199311,34.0,-2.4
199312,29.7,-0.1
199401,32.7,4.5
199402,29.6,-1.5
199403,39.9,4.6
199404,42.9,1.6
199405,50.4,1.7
199406,58.6,2.0
199407,67.9,3.6
199408,65.0,2.0
199409,57.0,0.9
199410,44.8,-1.8
199411,27.4,-9.0
199412,27.7,-2.1
199501,30.7,2.5
199502,38.6,7.5
199503,34.0,-1.3
199504,38.3,-3.0
199505,46.0,-2.7
199506,52.9,-3.7
199507,61.6,-2.7
199508,62.3,-0.7
199509,58.6,2.5
199510,48.7,2.1
199511,43.3,6.9
199512,33.0,3.2
199601,32.6,4.4
199602,34.2,3.1
199603,37.1,1.8
199604,42.2,0.9
199605,48.0,-0.7
199606,58.3,1.7
199607,67.3,3.0
199608,65.1,2.1
199609,55.3,-0.8
199610,45.7,-0.9
199611,37.7,1.3
199612,32.6,2.8
199701,29.7,1.5
199702,32.0,0.9
199703,40.3,5.0
199704,40.8,-0.5
199705,53.7,5.0
199706,55.6,-1.0
199707,62.8,-1.5
199708,63.4,0.4
199709,56.8,0.7
199710,45.2,-1.4
199711,38.1,1.7
199712,27.5,-2.3
199801,32.1,3.9
199802,29.4,-1.7
199803,35.8,0.5
199804,38.6,-2.7
199805,42.1,-6.6
199806,53.6,-3.0
199807,65.4,1.1
199808,65.9,2.9
199809,57.0,0.9
199810,43.5,-3.1
199811,35.4,-1.0
199812,27.0,-2.8
199901,31.8,3.6
199902,30.8,-0.3
199903,34.8,-0.5
199904,37.9,-3.4
199905,48.2,-0.5
199906,56.2,-0.4
199907,63.3,-1.0
199908,60.7,-2.3
199909,58.5,2.4
199910,50.4,3.8
199911,41.0,4.6
199912,31.2,1.4
200001,31.2,3.0
200002,33.9,2.8
200003,37.1,1.8
200004,45.1,3.8
200005,50.5,1.8
200006,60.6,4.0
200007,62.9,-1.4
200008,64.3,1.3
200009,55.7,-0.4
200010,45.0,-1.6
200011,32.6,-3.8
200012,33.6,3.8
200101,27.7,-0.5
200102,28.3,-2.8
200103,39.9,4.6
200104,38.7,-2.6
200105,56.2,7.5
200106,59.1,2.5
200107,64.2,-0.1
200108,66.8,3.8
200109,59.2,3.1
200110,51.0,4.4
200111,37.6,1.2
200112,29.2,-0.6
200201,27.8,-0.4
200202,34.6,3.5
200203,34.3,-1.0
200204,43.1,1.8
200205,48.6,-0.1
200206,59.8,3.2
200207,68.4,4.1
200208,63.6,0.6
200209,58.1,2.0
200210,46.0,-0.6
200211,38.1,1.7
200212,30.8,1.0
200301,38.4,10.2
200302,31.2,0.1
200303,38.4,3.1
200304,36.4,-4.9
200305,49.7,1.0
200306,60.8,4.2
200307,68.6,4.3
200308,63.6,0.6
200309,60.1,4.0
200310,52.2,5.6
200311,33.1,-3.3
200312,30.7,0.9
200401,29.7,1.5
200402,29.9,-1.2
200403,43.1,7.8
200404,44.1,2.8
200405,49.9,1.2
200406,59.2,2.6
200407,66.3,2.0
200408,63.8,0.8
200409,56.3,0.2
200410,44.6,-2.0
200411,34.7,-1.7
200412,31.7,1.9
200501,28.0,-0.2
200502,32.0,0.9
200503,37.4,2.1
200504,39.9,-1.4
200505,49.1,0.4
200506,53.0,-3.6
200507,68.5,4.2
200508,65.1,2.1
200509,54.0,-2.1
200510,47.7,1.1
200511,38.8,2.4
200512,32.8,3.0
200601,30.7,2.5
200602,32.2,1.1
200603,30.1,-5.2
200604,41.0,-0.3
200605,51.7,3.0
200606,61.0,4.4
200607,68.0,3.7
200608,62.8,-0.2
200609,57.0,0.9
200610,45.8,-0.8
200611,37.4,1.0
200612,30.5,0.7
200701,27.0,-1.2
200702,33.2,2.1
200703,41.5,6.2
200704,43.1,1.8
200705,52.2,3.5
200706,58.9,2.3
200707,68.0,3.7
200708,65.2,2.2
200709,54.5,-1.6
200710,44.8,-1.8
200711,39.5,3.1
200712,27.6,-2.2
200801,25.8,-2.4
200802,31.2,0.1
200803,35.6,0.3
200804,40.1,-1.2
200805,49.2,0.5
200806,57.8,1.2
200807,66.4,2.1
200808,65.9,2.9
200809,58.8,2.7
200810,47.6,1.0
200811,40.6,4.2
200812,28.9,-0.9
200901,32.8,4.6
200902,32.1,1.0
200903,34.8,-0.5
200904,40.8,-0.5
200905,53.7,5.0
200906,55.4,-1.2
200907,66.4,2.1
200908,63.3,0.3
200909,60.8,4.7
200910,44.5,-2.1
200911,37.7,1.3
200912,25.8,-4.0
201001,32.0,3.8
201002,33.9,2.8
201003,35.4,0.1
201004,37.5,-3.8
201005,42.7,-6.0
201006,56.6,0.0
201007,66.2,1.9
201008,62.2,-0.8
201009,58.0,1.9
201010,47.8,1.2
201011,34.5,-1.9
201012,32.9,3.1
201101,32.2,4.0
201102,28.8,-2.3
201103,34.6,-0.7
201104,38.6,-2.7
201105,44.0,-4.7
201106,54.2,-2.4
201107,63.0,-1.3
201108,63.9,0.9
201109,60.6,4.5
201110,48.2,1.6
201111,35.5,-0.9
201112,30.1,0.3
201201,33.8,5.6
201202,32.0,0.9
201203,36.4,1.1
201204,43.4,2.1
201205,51.0,2.3
201206,57.0,0.4
201207,65.6,1.3
201208,67.3,4.3
201209,61.5,5.4
201210,49.8,3.2
201211,39.4,3.0
201212,28.0,-1.8
201301,25.4,-2.8
201302,31.6,0.5
201303,40.3,5.0
201304,44.1,2.8
201305,50.3,1.6
201306,60.3,3.7
201307,68.6,4.3
201308,63.3,0.3
201309,56.6,0.5
201310,44.6,-2.0
201311,39.0,2.6
201312,28.6,-1.2
201401,36.4,8.2
201402,36.3,5.2
201403,38.9,3.6
201404,44.1,2.8
201405,51.2,2.5
201406,59.8,3.2
201407,69.2,4.9
201408,63.6,0.6
201409,59.3,3.2
201410,51.0,4.4
201411,39.9,3.5
201412,33.8,4.0
201501,36.9,8.7
201502,40.4,9.3
201503,43.3,8.0
201504,42.7,1.4
201505,49.5,0.8
201506,63.4,6.8
201507,64.0,-0.3
201508,65.0,2.0
201509,59.4,3.3
201510,51.8,5.2
201511,32.6,-3.8
201512,28.8,-1.0
201601,30.3,2.1
201602,37.8,6.7
201603,39.0,3.7
201604,45.4,4.1
201605,49.5,0.8
201606,60.7,4.1
201607,65.6,1.3
201608,66.0,3.0
201609,57.3,1.2
201610,46.9,0.3
201611,39.5,3.1
201612,29.9,0.1
201701,26.4,-1.8
201702,32.7,1.6
201703,39.5,4.2
201704,40.9,-0.4
201705,51.3,2.6
201706,60.2,3.6
201707,68.1,3.8
201708,67.3,4.3
201709,56.3,0.2
201710,46.7,0.1
201711,40.6,4.2
201712,33.6,3.8
201801,36.5,8.3
201802,30.8,-0.3
201803,33.9,-1.4
201804,43.2,1.9
201805,51.4,2.7
201806,59.4,2.8
201807,69.1,4.8
201808,65.5,2.5
201809,58.1,2.0
201810,46.5,-0.1
201811,38.6,2.2
201812,30.7,0.9
201901,32.7,4.5
201902,25.5,-5.6
201903,34.4,-0.9
201904,44.9,3.6
201905,47.2,-1.5
201906,58.0,1.4
201907,64.4,0.1
201908,65.7,2.7
201909,54.8,-1.3
201910,43.1,-3.5
201911,39.7,3.3
201912,31.7,1.9
202001,33.5,5.3
202002,35.3,4.2
202003,34.6,-0.7
202004,44.2,2.9
202005,51.5,2.8
202006,57.8,1.2
202007,66.6,2.3
202008,67.8,4.8
202009,61.9,5.8
202010,52.2,5.6
202011,37.1,0.7
202012,31.6,1.8
202101,32.0,3.8
